,age_group,education,country,music,artist_name,featured_artists,avg_plays_per_user,song_age,user_favorite_genre,user_genre_diversity,user_genre_affinity,energy_acousticness_ratio
47,Young Adult, Middle School , Non-Urban ,House Of Balloons / Glass Table Girls,The Weeknd,"Mon Laferte, Maroon 5, Jhené Aiko",248.14285714285714,12, Christian/Gospel,7,795.0,5.016754663878573
48,Adult, Middle School , Non-Urban ,Mamacita,Travis Scott,"Tears For Fears, Counting Crows, Lil Kleine, Kris Kross Amsterdam, Imagine Dragons",196.0,10,Classical,2,1.0,0.7898050780040731
49,Senior, High School , Urban ,#SELFIE,The Chainsmokers,"Fall Out Boy, KYLE, Conor Maynard",356.0,24, R&B,1,356.0,0.5399450640171618
50,Senior, Middle School , Urban ,Versatile,Kodak Black,"Rudimental, Official HIGE DANdism",301.0,24,Jazz,1,301.0,1.4514306433190707
51,Elderly, Graduate , Non-Urban ,God Gave Me You,Blake Shelton,"Alejandro Fernández, XXXTENTACION, Robbie Williams, La Adictiva Banda San José de Mesillas, Dierks Bentley",1.0,24, Christian/Gospel,1,1.0,0.7151508562237631
52,Teen, Middle School , Non-Urban ,Black Widow - Dank Remix,Iggy Azalea,"Bruno Martini, Panic! At The Disco, YG, Ava Max",202.0,24,Classical,2,1.0,19.878557016758133
53,Teen, Middle School , Non-Urban ,Livin' On A Prayer,Bon Jovi,Olivia Rodrigo,202.0,24,Classical,2,403.0,33.50426219324735
54,Senior, Graduate , Non-Urban ,1-800-273-8255,Logic,"BROCKHAMPTON, YG, Normani",1.0,7,Emo,1,1.0,2.3237160041572857
55,Senior, High School , Urban ,Sleepless,Flume,"Megadeth, Wham!, Morgan Wallen, The Game, Billy Joel",506.5,24, Classical,2,1012.0,2.9204617369354264
56,Senior, High School , Urban ,Single Ladies (Put a Ring on It),Beyoncé,"Playboi Carti, Desiigner, Lalo Ebratt, Mac DeMarco, Calvin Harris",506.5,16, Classical,2,1.0,0.7173941086220991
57,Adult, Undergraduate , Non-Urban ,For The Love Of A Daughter,Demi Lovato,Migos,1103.0,24, Dance/Electronic,1,1103.0,6.07751096464464
58,Senior, High School , Non-Urban ,C.L.U. - Remixed by Paul Oakenfold,Daft Punk,"DNCE, Empire of the Sun, Luísa Sonza, Lizzo",1.0,24, Christian/Gospel,1,1.0,0.00989833332292439
59,Adult, Middle School , Non-Urban ,Culture (feat. DJ Khaled),Migos,"Anitta, IU, Tame Impala, KSI, Tiago PZK",1.0,24,Rock,1,1.0,0.33096638807081086
60,Teen, High School , Urban ,The Outlaw Torn,Metallica,"Thiaguinho, Blake Shelton",1277.0,24, Soul,1,1277.0,2.284946943455922
61,Teen, Undergraduate , Urban ,Habits (Stay High) - Hippie Sabotage Remix,Tove Lo,Loud Luxury,117.0,10,Dance/Electronic,1,117.0,1.2115318937074806
62,Teen, Graduate , Non-Urban ,Hasta el Amanecer,Nicky Jam,"Two Feet, Falling In Reverse, Romeo Santos",1209.0,7,Rock,1,1209.0,2.1560283611488353
63,Senior, Middle School , Urban ,Boo'd Up,Ella Mai,"21 Savage, Upchurch",1.0,7,Jazz,2,1.0,1.1191901819010006
64,Senior, Middle School , Urban ,Hotel California - Remastered,Eagles,"Brad Paisley, T.I., Swedish House Mafia, The Jackson 5",1.0,48,Jazz,2,1.0,88.50172674185944
65,Elderly, High School , Urban ,All Falls Down,Kanye West,"Fall Out Boy, Cash Cash",859.0,24, Folk/Acoustic,1,859.0,2.847714986885489
66,Teen, Middle School , Non-Urban ,White Christmas,Blake Shelton,"Cher, Mac DeMarco, The Game, Red Hot Chili Peppers",654.0,24, Hip-Hop,3,1.0,5.861389613341522
67,Teen, Middle School , Non-Urban ,"One, Two Step",Ciara,"Dean Lewis, Kehlani, Playboi Carti",654.0,20, Hip-Hop,3,1317.0,1.6778770043633087
68,Teen, Middle School , Non-Urban ,"Love in This Club, Pt. II",Usher,"Carlos Rivera, Wallows",654.0,24, Hip-Hop,3,644.0,9.587012952600771
69,Adult, Undergraduate , Non-Urban ,Runnin',Machine Gun Kelly,"Beck, 2Pac",1.0,24, Country  ,1,1.0,0.9589785879614232
70,Teen, Graduate , Urban ,Hotel California - Remastered,Eagles,"Macklemore, Marracash, SEVENTEEN, Fleetwood Mac, Conan Gray",123.5,48,Dance/Electronic,2,1.0,88.50172674185944
71,Teen, Graduate , Urban ,On Top Of The World,Imagine Dragons,"Giveon, Beyoncé, Imanbek, $NOT",123.5,24,Dance/Electronic,2,246.0,3.226972987161955
72,Senior, Middle School , Non-Urban ,chateau,blackbear,Korn,326.0,24,Hip-Hop,1,326.0,2.261468680722621
73,Elderly, High School , Non-Urban ,See You Again,"Tyler, The Creator","Snow Patrol, Jon Bellion, Zac Brown Band",1.0,7,Hiphop,1,1.0,2.3960910642724556
74,Teen, Middle School , Non-Urban ,Mask Off,Future,"Ali Gatie, Gerardo Ortiz, Lil Mosey, Ricky Martin",703.0,7,Emo,3,212.0,42.549015436371036
75,Teen, Middle School , Non-Urban ,The Cave,Mumford & Sons,"The Black Keys, YOASOBI, Pentatonix",703.0,24,Emo,3,1661.0,0.7890077673564041
76,Teen, Middle School , Non-Urban ,"Me, Myself & I",G-Eazy,"Jax Jones, Dean Lewis, Dean Martin, Chris Brown",530.5,9,Dance/Electronic,2,890.0,36.63043279182431
77,Teen, Middle School , Non-Urban ,Sixteen,Rick Ross,"PNAU, Arcangel",530.5,12,Dance/Electronic,2,171.0,0.7358546440394657
78,Adult, Graduate , Non-Urban ,Every Ghetto,Nas,"Muse, Guaynaa, Julieta Venegas",1129.0,24, Metal,3,1964.0,0.9948039848242483
79,Senior, High School , Non-Urban ,Mi Santa,Romeo Santos,Wisin & Yandel,1114.0,12, Easy Listening,1,1114.0,0.18203244467909663
80,Teen, Undergraduate , Non-Urban ,Don't Stop Me Now - Remastered,Queen,Juice WRLD,641.0,46,Hip-Hop,2,1003.0,18.273683825817184
81,Teen, Undergraduate , Non-Urban ,Kush Ups (feat. Wiz Khalifa),Snoop Dogg,"Rauw Alejandro, Gunna, La Adictiva Banda San José de Mesillas, Skrillex",641.0,24,Hip-Hop,2,279.0,0.1785665096377048
82,Senior, Graduate , Urban ,War Pigs/Luke's Wall - Remastered Version,Black Sabbath,"Jack & Jack, Jessie Reyez",77.0,54, Jazz,1,77.0,1.837365565969152
83,Teen, High School , Non-Urban ,That Far,6LACK,Little Mix,107.5,24, R&B,2,214.0,0.7469238170503978
84,Teen, High School , Non-Urban ,Time of Our Lives,Pitbull,"Angus & Julia Stone, Bradley Cooper",107.5,10, R&B,2,1.0,23.04951700787667
85,Elderly, Graduate , Urban ,Influence,Tove Lo,Chance the Rapper,378.5,24, Christian/Gospel  ,1,757.0,2.825292456038603
86,Elderly, Graduate , Urban ,I'll Keep You Safe (U.K. Version),Sleeping At Last,"C. Tangana, Elevation Worship, Zoé, Ben&Ben",378.5,24, Christian/Gospel  ,1,757.0,2.0949630149955754
87,Adult, High School , Non-Urban ,Whatcha Say,Jason Derulo,Megadeth,965.0,14,RnB,1,965.0,0.732953180158099
88,Teen, High School , Non-Urban ,Wherever You Are,Angus & Julia Stone,Juan Magán,253.0,24, Hip-Hop,2,1.0,9.074573006534244
89,Teen, High School , Non-Urban ,Changing Of The Seasons,Two Door Cinema Club,"The Head And The Heart, Bryce Vine, Kanye West",253.0,24, Hip-Hop,2,505.0,0.2877320794480133
90,Teen, High School , Urban ,Booty Wurk (One Cheek At a Time),T-Pain,Glass Animals,343.75,24,Rock,3,405.0,5.186242698324283
91,Teen, High School , Urban ,늑대와 미녀 (Wolf),EXO,"Aloe Blacc, ODESZA, Disney",343.75,24,Rock,3,968.0,0.45597550939813336
92,Teen, Graduate , Urban ,Most Girls,Hailee Steinfeld,Cali Y El Dandee,711.0,24,Pop,1,711.0,0.09887163172688596
93,Senior, Graduate , Non-Urban ,Thinking Of You,Katy Perry,"The Kid LAROI, Doja Cat, Polo G, Arcangel, MF DOOM",184.33333333333334,16, Country,2,2.0,0.43758393584381877
94,Senior, Graduate , Non-Urban ,The District Sleeps Alone Tonight,Birdy,"Sum 41, The Neighbourhood, Yusuf / Cat Stevens, Scorpions",184.33333333333334,24, Country,2,2.0,0.031066658710382267
95,Senior, Graduate , Non-Urban ,Day 'N' Nite (nightmare),Kid Cudi,"Marilyn Manson, John Mayer",184.33333333333334,15, Country,2,551.0,5.499299915168822
96,Elderly, Middle School , Non-Urban ,KMT,Drake,"Lauv, Jonas Blue, Weezer",13.0,7,Rap,1,13.0,1.4426219156560751
97,Adult, Graduate , Non-Urban ,Low (feat T-Pain) - Feat T-Pain Album Version,Flo Rida,"The Cure, Mambo Kingz",520.5,16, Country,2,819.0,1.167557791387972
98,Adult, Graduate , Non-Urban ,Wings,Birdy,"Nelly, Jessie Reyez, Carlos Vives, ILLENIUM",520.5,11, Country,2,222.0,2.6216022474430676
99,Teen, Middle School , Non-Urban ,On Top Of The World,Imagine Dragons,"Ramin Djawadi, Kendrick Lamar, R.E.M., Zedd, Arcangel",434.8,24, Dance/Electronic,5,969.0,0.6561868706132984
100,Teen, Middle School , Non-Urban ,Immigrant Song,Led Zeppelin,"Ezhel, La Oreja de Van Gogh",434.8,54, Dance/Electronic,5,536.0,71.69230217751523
101,Teen, Middle School , Non-Urban ,Rich Love (with Seeb),OneRepublic,"Charli XCX, 6ix9ine, Snakehips",434.8,24, Dance/Electronic,5,667.0,1.298783156780745
102,Young Adult, High School , Urban ,Your Love Is My Drug,Kesha,"The Head And The Heart, Selena Gomez, Camila, R.E.M., Bob Dylan",1.0,24, Soul,1,1.0,0.23233262838207716
103,Young Adult, Middle School , Non-Urban ,Kiss N Tell,Kesha,"George Michael, Pineapple StormTv",1.0,24,Classical,2,1.0,0.21056272447141774
104,Young Adult, Middle School , Non-Urban ,"Gucci On My (feat. 21 Savage, YG & Migos)",Mike WiLL Made-It,Paramore,1.0,24,Classical,2,1.0,2.11916158098116
105,Teen, Undergraduate , Non-Urban ,Carry Me,Kygo,"Breaking Benjamin, Kylie Minogue, Dean Martin, The Cure, Kris Kross Amsterdam",165.66666666666666,8,Classical,2,461.0,1.020195870185597
106,Teen, Undergraduate , Non-Urban ,Partition,Beyoncé,"Phil Collins, Santa Fe Klan, Thomas Rhett",165.66666666666666,10,Classical,2,36.0,1.5588249990707326
107,Teen, Undergraduate , Non-Urban ,Pardon Me,Incubus,"Flume, Duki, My Chemical Romance, Oliver Tree",165.66666666666666,24,Classical,2,36.0,2.3594108554426585
108,Young Adult, High School , Urban ,Love Me,Lil Wayne,"Mau y Ricky, Samra, Leon Bridges, Luísa Sonza, Aitana",195.66666666666666,11, Rock,1,587.0,1.00770286227741
109,Young Adult, High School , Urban ,White Ferrari,Frank Ocean,"YG, BTS, Tears For Fears, Madison Beer",195.66666666666666,8, Rock,1,587.0,0.12441558425400573
110,Young Adult, High School , Urban ,Rewind,Rascal Flatts,"Cali Y El Dandee, fun.",195.66666666666666,24, Rock,1,587.0,0.23667005315023276
111,Teen, Middle School , Urban ,"See You Again (feat. Charlie Puth) - From ""Furious 7""",Wiz Khalifa,"French Montana, Henrique & Juliano, ITZY, Ferrugem",585.0,9, Hip-Hop,2,1067.0,2.3382050149686506
112,Teen, Middle School , Urban ,Burnout,Green Day,"Diplo, Jay Chou, Wale, Ricardo Arjona",585.0,30, Hip-Hop,2,103.0,0.7149219436646277
113,Young Adult, Middle School , Non-Urban ,Frosty The Snowman,The Jackson 5,"Mike WiLL Made-It, Hillsong UNITED, Black Sabbath, Brent Faiyaz",1792.0,24,Classical,1,1792.0,0.8163478394528534
114,Teen, Middle School , Urban ,Life Changes,Thomas Rhett,"Cosculluela, MEDUZA, OMI",469.0,7, Dance/Electronic,2,334.0,3.8066744847471226
115,Teen, Middle School , Urban ,They Don't Love You No More,DJ Khaled,"Otis Redding, Sting, Prince Royce, Sleeping At Last",469.0,24, Dance/Electronic,2,1073.0,2.4072826017580065
116,Teen, Middle School , Urban ,I Don't Get Tired (#IDGT) - Remix,Kevin Gates,"Ariana Grande, Amy Winehouse, Oasis",469.0,24, Dance/Electronic,2,1073.0,1.9852083460271261
117,Teen, Undergraduate , Urban ,I Get A Kick Out Of You,Frank Sinatra,"Robbie Williams, Dierks Bentley, Gusttavo Lima",144.0,62,Dance/Electronic,1,144.0,0.828157269599694
118,Elderly, Middle School , Non-Urban ,Papa Was A Rollin' Stone - Single Version,The Temptations,"Ricky Martin, Don Diablo, Westlife",520.0,24,Rock,1,520.0,0.9342089104527087
119,Teen, Graduate , Non-Urban ,Stay (with Alessia Cara),Zedd,"Los Tucanes De Tijuana, The 1975",1.0,24,Hip-Hop,2,1.0,1.1967788473468357
120,Teen, Graduate , Non-Urban ,Wicked,Future,"ScHoolboy Q, (G)I-DLE, Nio Garcia, Julieta Venegas",1.0,8,Hip-Hop,2,1.0,0.09392164518559648
121,Elderly, Graduate , Urban ,"Jumpin', Jumpin'",Destiny's Child,"Lil Peep, Glass Animals, Prince Royce, Santana",189.75,25,Underground Rap,3,1.0,0.8707705106347686
122,Elderly, Graduate , Urban ,Gimme Shelter,The Rolling Stones,"Ava Max, Sleepy Hallow",189.75,24,Underground Rap,3,756.0,3.1791142685007463
123,Teen, Undergraduate , Non-Urban ,La Grange - 2005 Remastered Version,ZZ Top,"Sech, Sum 41, The Smashing Pumpkins, Ariana Grande",156.66666666666666,51, Classical,3,468.0,257.0280092256991
124,Teen, Undergraduate , Non-Urban ,Mess Around,Cage The Elephant,"Bea Miller, Otis Redding, Melanie Martinez, Twenty One Pilots, Meek Mill",156.66666666666666,24, Classical,3,1.0,78.23528754325315
125,Senior, Middle School , Non-Urban ,"Secret Love Song, Pt. II",Little Mix,"Tyler, The Creator",496.0,24, Country,4,1.0,1.0280944499818643
126,Senior, Middle School , Non-Urban ,Despacito - Remix,Luis Fonsi,"Rich The Kid, YUNGBLUD, Playboi Carti, Lil Kleine",496.0,24, Country,4,1.0,1.088541630672999
127,Senior, Middle School , Non-Urban ,Wake Up,Fetty Wap,Robin Schulz,496.0,24, Country,4,989.0,3.912790674925636
128,Adult, Undergraduate , Urban ,Planez,Jeremih,"Chris Stapleton, Lil Nas X, SEVENTEEN",1.0,9,RnB,1,1.0,1.5753187839776013
129,Senior, Undergraduate , Non-Urban ,Sober,Selena Gomez,"Mr. Probz, Major Lazer, Rex Orange County, KHEA, Kris Kross Amsterdam",1.0,24, Classical,1,1.0,0.8231183348415737
130,Elderly, High School , Non-Urban ,Wild Thoughts,DJ Khaled,OneRepublic,1.0,7, Easy Listening,1,1.0,3.71652040746939
131,Senior, Middle School , Urban ,I Don't Fuck With You,Big Sean,"ILLENIUM, PARTYNEXTDOOR, Mau y Ricky, Shaggy",642.0,24,Jazz,1,642.0,0.14388953652967382
132,Senior, Undergraduate , Urban ,Different For Girls,Dierks Bentley,Alejandro Fernández,558.0,8, Blues  ,1,558.0,3.5678053257946987
133,Teen, Middle School , Non-Urban ,Amnesia,5 Seconds of Summer,"Alfredo Olivas, Alanis Morissette, Meek Mill, ITZY, A$AP Rocky",314.0,10, Punk,2,627.0,0.0469379271820633
134,Teen, Middle School , Non-Urban ,Drug Ballad,Eminem,"6ix9ine, Colbie Caillat, Stromae, DJ Snake",314.0,24, Punk,2,1.0,2.8726652301203965
135,Teen, Graduate , Non-Urban ,Thinking About You,Calvin Harris,"Lil Wayne, Ferrugem, Ludovico Einaudi",217.5,24,Classical,2,434.0,1.7665332616003557
136,Teen, Graduate , Non-Urban ,For You,Keith Urban,"Harry Styles, Cheat Codes, La Oreja de Van Gogh, Bing Crosby, blackbear",217.5,24,Classical,2,1.0,5.6462707301828265
137,Teen, Middle School , Urban ,Shot Down,Khalid,"Tame Impala, The Neighbourhood",907.0,24, Hip-Hop,1,907.0,0.6261945435173953
138,Adult, Middle School , Urban ,Into The Mystic,Van Morrison,Gym Class Heroes,2.0,54,Dance/Electronic,1,2.0,1.85456385919635
139,Elderly, Graduate , Urban ,Make You Miss Me,Sam Hunt,"NCT 127, Kenny Chesney, Macklemore & Ryan Lewis, Coldplay",133.5,24, Christian/Gospel  ,2,1.0,0.8907253752028395
140,Elderly, Graduate , Urban ,Love Faces,Trey Songz,Imagine Dragons,133.5,24, Christian/Gospel  ,2,266.0,1.713632089181542
141,Adult, Graduate , Non-Urban ,Drinking class,Lee Brice,"Dierks Bentley, ZHU, TOMORROW X TOGETHER",979.5,24, Classical,2,973.0,0.9035227419975859
142,Adult, Graduate , Non-Urban ,Something In The Way,Nirvana,"Major Lazer, Lil Wayne, Outkast, Spice Girls",979.5,33, Classical,2,986.0,1.8336434509914137
143,Teen, High School , Urban ,Middle,DJ Snake,The Beatles,1.0,24, Hip-Hop,1,1.0,6.446168122673496
144,Adult, Undergraduate , Non-Urban ,P.I.M.P.,50 Cent,"Nio Garcia, Jimi Hendrix, Lofi Fruits Music, CRO, Paul McCartney",155.0,21, Hip-Hop,1,155.0,1.0123415383423358
145,Teen, Undergraduate , Non-Urban ,Losing My Mind,Charlie Puth,"Bethel Music, Jay Chou, Nacho",62.0,24,Hip-Hop,1,62.0,1.648884137211627
146,Senior, Middle School , Non-Urban ,Out Yo Way,Migos,"Laura Pausini, Frank Sinatra, Ricardo Arjona",79.0,24,Hip-Hop,2,92.0,0.10530632634595731
147,Senior, Middle School , Non-Urban ,Spectrum (Say My Name) - Calvin Harris Remix,Florence + The Machine,"Macklemore & Ryan Lewis, The Kid LAROI, Lalo Ebratt, Bradley Cooper, Kodak Black",79.0,24,Hip-Hop,2,66.0,5.907361429177277
148,Senior, Middle School , Urban ,Gyalchester,Drake,"WALK THE MOON, G-Eazy, TLC",279.5,7,Jazz,2,1.0,0.9452050888284221
149,Senior, Middle School , Urban ,Santa Claus Is Coming To Town,Justin Bieber,"Migos, YUNGBLUD, Earth, Wind & Fire, Gunna, Miranda Lambert",279.5,24,Jazz,2,558.0,23.382183049654284
150,Adult, High School , Urban ,Jump - 2015 Remastered Version,Van Halen,"Mambo Kingz, Rihanna, Farruko, Tungevaag",1.0,40, Rock,1,1.0,4.883040907116719
151,Adult, Graduate , Urban ,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",Flo Rida,Counting Crows,1.0,9, Classical,1,1.0,1.7340966582655661
152,Adult, Graduate , Non-Urban ,Thinkin Bout You,Frank Ocean,Juicy J,939.0,12, Dance/Electronic,1,939.0,0.8288508537191911
153,Senior, Graduate , Urban ,Smoke A Little Smoke/Sweet Leaf - Medley/Live,Eric Church,"The Smashing Pumpkins, Paramore",1.0,24, Easy Listening,1,1.0,1.069693516333342
154,Senior, Graduate , Non-Urban ,Shake That,Eminem,"The Beatles, Aretha Franklin, Foo Fighters, Fifth Harmony, Hozier",934.0,24, Christian/Gospel  ,1,934.0,1.671570284738042
155,Young Adult, High School , Urban ,We Are the People,Empire of the Sun,"Ezhel, AC/DC, Aleman, Anderson .Paak",354.0,24, Hip-Hop,2,1.0,2.816074075887901
156,Adult, Graduate , Non-Urban ,Body Like A Back Road,Sam Hunt,"Eslabon Armado, Bryan Adams, Colbie Caillat, Jack Harlow",243.66666666666666,7, Classical,3,499.0,1.024608498826379
157,Adult, Graduate , Non-Urban ,Then,Brad Paisley,"M83, Ciara, GIMS, La Adictiva Banda San José de Mesillas",243.66666666666666,15, Classical,3,201.0,0.3052355767063519
