Timestamp,Do you grant your consent to participate in this survey?,Gender,Age,Kindly select your university of study,Level,Religion,Location,Ethnicity,Study's financing,Medications intake due to studies,Is radiography your desired profession?,I feel emotionally drained by my studies.,I feel used up at the end of a day at school.,I feel like my courses are breaking me down.,I feel frustrated by my course activities.,I feel studying or attending a class is really a strain on me.,I have become less interested in my studies since my enrollment at the school.,I have become less enthusiastic about my studies.,I have become more cynical about the potential usefulness of my studies.,I doubt the significance of my studies.,I can effectively solve the problems that arise in my studies.,I believe that I make an effective contribution to the classes that I attend.,"In my opinion, I am a good student.",I have learned many interesting things during the course of my studies.,I feel stimulated when I achieve my study goals.,During class I feel confident that I am effective in getting things done.
2024/07/16 12:51:36 PM PDT,Yes,Male,24 - 27,COHk,300,Cristian,Off Campus,Ga,Family,Never,Yes,5,5,5,5,5,1,1,0,0,3,4,5,6,5,4
2024/07/16 12:52:16 PM PDT,Yes,Male,24 - 27,COHk,300,Cristian,Off Campus,Ga,Family,Sometimes,Yes,5,5,5,5,5,1,1,0,1,5,5,5,5,5,5
2024/07/16 12:53:05 PM PDT,Yes,Male,24 - 27,COHk,300,Cristian,Off Campus,Ewe,Loan,Frequently,Yes,6,6,6,6,6,2,2,1,0,6,6,6,6,6,6
2024/07/16 12:53:56 PM PDT,Yes,Male,24 - 27,COHk,300,Cristian,Off Campus,Ewe,Loan,Never,Yes,6,6,6,6,6,0,0,6,6,6,6,6,6,6,6
2024/07/16 12:54:59 PM PDT,Yes,Male,28 and above,COHk,300,Cristian,Off Campus,Others,Self,Frequently,Yes,6,6,6,6,6,1,0,1,0,3,2,3,3,2,3
2024/07/16 12:58:50 PM PDT,Yes,Male,28 and above,COHk,300,Cristian,Off Campus,Others,Scholarship,Never,Yes,6,5,6,5,6,6,5,5,4,3,2,1,0,1,2
2024/07/16 12:59:39 PM PDT,Yes,Male,28 and above,COHk,300,Muslim,Off Campus,Others,Family,Sometimes,Yes,6,5,6,5,6,0,1,2,0,6,5,4,3,2,1
2024/07/16 1:00:55 PM PDT,Yes,Male,28 and above,COHk,300,Muslim,Off Campus,Others,Loan,Frequently,Yes,6,6,6,6,6,6,0,0,0,3,4,5,6,5,4
2024/07/16 1:01:58 PM PDT,Yes,Male,28 and above,COHk,300,Muslim,Off Campus,Others,Self,Never,Yes,6,5,4,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/16 1:04:25 PM PDT,Yes,Male,28 and above,COHk,300,Muslim,Off Campus,Others,Family,Frequently,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/16 1:05:26 PM PDT,Yes,Male,28 and above,COHk,300,Cristian,Off Campus,Akan,Family,Sometimes,Yes,6,6,6,6,6,0,0,0,0,3,3,3,3,3,3
2024/07/16 1:06:21 PM PDT,Yes,Male,24 - 27,COHk,300,Cristian,Off Campus,Akan,Family,Sometimes,Yes,6,5,6,6,6,1,0,1,0,6,5,4,3,4,6
2024/07/16 1:07:29 PM PDT,Yes,Male,21 - 23,COHk,300,Cristian,Off Campus,Ga,Family,Never,Yes,6,6,6,6,6,0,0,0,0,6,6,6,6,6,6
2024/07/16 1:08:22 PM PDT,Yes,Male,24 - 27,COHk,300,Cristian,Off Campus,Ewe,Loan,Sometimes,Yes,6,6,6,6,6,1,0,0,0,3,2,1,0,6,6
2024/07/16 1:09:32 PM PDT,Yes,Male,24 - 27,COHk,300,Cristian,Off Campus,Others,Self,Frequently,Yes,6,6,6,6,6,1,0,0,0,6,5,4,3,4,5
2024/07/16 1:12:26 PM PDT,Yes,Female,21 - 23,COHk,300,Cristian,Off Campus,Akan,Scholarship,Never,Yes,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/16 1:13:32 PM PDT,Yes,Female,21 - 23,COHk,300,Cristian,Off Campus,Akan,Family,Sometimes,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/16 1:15:22 PM PDT,Yes,Female,21 - 23,COHk,300,Cristian,Off Campus,Akan,Loan,Frequently,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/16 1:16:44 PM PDT,Yes,Female,21 - 23,COHk,300,Cristian,Off Campus,Akan,Self,Never,Yes,6,6,6,6,6,0,0,0,0,6,5,4,3,4,6
2024/07/16 1:17:54 PM PDT,Yes,Female,21 - 23,COHk,300,Cristian,Campus,Akan,Family,Sometimes,Yes,6,5,6,5,6,1,2,3,0,6,5,4,3,2,1
2024/07/16 1:18:49 PM PDT,Yes,Female,21 - 23,COHk,300,Cristian,Off Campus,Akan,Family,Never,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/07/16 1:19:43 PM PDT,Yes,Female,21 - 23,COHk,300,Cristian,Off Campus,Akan,Family,Sometimes,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2024/07/16 1:20:34 PM PDT,Yes,Female,21 - 23,COHk,300,Cristian,Off Campus,Akan,Family,Never,Yes,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2024/07/16 1:21:30 PM PDT,Yes,Female,21 - 23,COHk,300,Cristian,Off Campus,Akan,Family,Never,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024/07/16 1:23:07 PM PDT,Yes,Female,21 - 23,COHk,300,Cristian,Off Campus,Akan,Family,Never,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2024/07/16 1:24:18 PM PDT,Yes,Female,24 - 27,COHk,300,Cristian,Off Campus,Ga,Scholarship,Never,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2024/07/16 1:25:09 PM PDT,Yes,Female,24 - 27,COHk,300,Cristian,Off Campus,Ga,Family,Sometimes,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/16 1:26:12 PM PDT,Yes,Female,24 - 27,COHk,300,Cristian,Off Campus,Ewe,Loan,Frequently,Yes,6,6,6,6,6,3,4,5,6,6,5,6,5,6,5
2024/07/16 1:27:24 PM PDT,Yes,Female,24 - 27,COHk,300,Cristian,Off Campus,Ga,Family,Never,Yes,6,6,6,6,5,1,2,2,1,3,2,4,5,6,6
2024/07/16 1:28:19 PM PDT,Yes,Female,24 - 27,COHk,300,Cristian,Off Campus,Ga,Family,Sometimes,Yes,6,6,6,6,6,3,2,1,0,6,5,6,4,3,6
2024/07/16 1:29:40 PM PDT,Yes,Female,24 - 27,COHk,300,Cristian,Off Campus,Ewe,Family,Never,Yes,6,6,6,6,6,6,6,1,0,6,5,4,3,2,1
2024/07/16 1:31:09 PM PDT,Yes,Female,24 - 27,COHk,300,Cristian,Off Campus,Ga,Family,Never,Yes,6,6,5,6,6,0,1,2,3,6,5,6,6,4,3
2024/07/16 1:32:02 PM PDT,Yes,Female,24 - 27,COHk,300,Cristian,Off Campus,Ga,Family,Never,Yes,6,6,6,6,6,0,0,0,0,3,3,3,3,3,3
2024/07/16 1:33:03 PM PDT,Yes,Female,24 - 27,COHk,300,Cristian,Off Campus,Ga,Family,Never,Yes,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5
2024/07/16 1:34:08 PM PDT,Yes,Female,24 - 27,COHk,300,Cristian,Off Campus,Ewe,Family,Never,Yes,6,6,6,6,6,0,0,0,0,6,6,6,6,6,6
2024/07/16 1:35:02 PM PDT,Yes,Female,24 - 27,COHk,300,Cristian,Off Campus,Ewe,Family,Never,Yes,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5
2024/07/16 1:35:48 PM PDT,Yes,Female,24 - 27,COHk,300,Cristian,Off Campus,Ewe,Family,Never,Yes,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4
2024/07/16 1:36:35 PM PDT,Yes,Female,24 - 27,COHk,300,Cristian,Off Campus,Ewe,Family,Sometimes,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024/07/16 1:37:36 PM PDT,Yes,Female,24 - 27,COHk,300,Cristian,Off Campus,Ewe,Family,Sometimes,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/16 1:38:42 PM PDT,Yes,Female,28 and above,COHk,300,Muslim,Off Campus,Others,Family,Never,Yes,6,6,6,6,6,6,6,6,6,3,2,1,0,1,2
2024/07/16 1:39:33 PM PDT,Yes,Female,28 and above,COHk,300,Muslim,Off Campus,Others,Family,Sometimes,Yes,5,5,6,6,5,3,2,1,0,6,5,6,5,6,5
2024/07/16 1:40:17 PM PDT,Yes,Female,28 and above,COHk,300,Muslim,Off Campus,Others,Loan,Frequently,Yes,6,6,6,6,6,6,6,6,6,3,4,5,6,6,5
2024/07/16 5:55:34 PM PDT,Yes,Male,17 - 20,COHk,200,Cristian,Campus,Akan,Scholarship,Never,Yes,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6
2024/07/16 5:56:53 PM PDT,Yes,Male,17 - 20,COHk,200,Cristian,Campus,Ga,Family,Sometimes,Yes,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3
2024/07/16 5:57:49 PM PDT,Yes,Male,17 - 20,COHk,200,Cristian,Campus,Ewe,Loan,Frequently,Yes,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4
2024/07/16 5:58:55 PM PDT,Yes,Male,17 - 20,COHk,200,Cristian,Campus,Others,Self,Never,Yes,6,6,6,6,6,2,2,2,2,3,3,4,4,5,5
2024/07/16 6:00:11 PM PDT,Yes,Male,17 - 20,COHk,200,Cristian,Campus,Akan,Scholarship,Never,Yes,4,4,4,4,4,0,1,0,0,6,6,6,6,6,6
2024/07/16 6:01:04 PM PDT,Yes,Male,17 - 20,COHk,200,Cristian,Campus,Ga,Family,Sometimes,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/16 6:01:49 PM PDT,Yes,Male,17 - 20,COHk,200,Cristian,Campus,Ga,Family,Sometimes,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2024/07/16 6:02:34 PM PDT,Yes,Male,17 - 20,COHk,200,Cristian,Campus,Ewe,Family,Never,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2024/07/16 6:03:20 PM PDT,Yes,Male,17 - 20,COHk,200,Cristian,Campus,Akan,Family,Never,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024/07/16 6:04:11 PM PDT,Yes,Male,17 - 20,COHk,200,Cristian,Campus,Ga,Family,Sometimes,Yes,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2024/07/16 6:05:01 PM PDT,Yes,Male,21 - 23,COHk,200,Cristian,Campus,Ewe,Family,Never,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/16 6:05:53 PM PDT,Yes,Male,21 - 23,COHk,200,Cristian,Campus,Ewe,Family,Sometimes,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2024/07/16 6:06:37 PM PDT,Yes,Male,21 - 23,COHk,200,Cristian,Campus,Others,Family,Never,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2024/07/16 6:07:51 PM PDT,Yes,Male,21 - 23,COHk,200,Cristian,Campus,Others,Family,Never,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024/07/16 6:08:34 PM PDT,Yes,Male,21 - 23,COHk,200,Cristian,Campus,Others,Family,Sometimes,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024/07/16 6:09:16 PM PDT,Yes,Male,21 - 23,COHk,200,Cristian,Campus,Akan,Family,Never,Yes,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2024/07/16 6:10:07 PM PDT,Yes,Male,21 - 23,COHk,200,Cristian,Campus,Akan,Family,Never,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2024/07/16 6:10:56 PM PDT,Yes,Male,21 - 23,COHk,200,Cristian,Campus,Akan,Family,Never,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/07/16 6:11:48 PM PDT,Yes,Male,21 - 23,COHk,200,Cristian,Campus,Akan,Family,Never,Yes,6,6,6,6,6,3,3,3,3,6,6,6,6,6,6
2024/07/16 6:12:47 PM PDT,Yes,Male,21 - 23,COHk,200,Cristian,Campus,Others,Family,Never,Yes,6,6,6,6,6,3,6,6,6,3,4,3,2,1,0
2024/07/16 6:13:37 PM PDT,Yes,Male,24 - 27,COHk,200,Cristian,Campus,Akan,Scholarship,Never,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/16 6:14:27 PM PDT,Yes,Male,24 - 27,COHk,200,Cristian,Campus,Ga,Family,Sometimes,Yes,6,6,6,6,6,5,5,5,5,6,6,6,6,3,3
2024/07/16 6:15:36 PM PDT,Yes,Male,24 - 27,COHk,200,Cristian,Campus,Others,Family,Frequently,Yes,6,6,6,6,6,4,4,4,4,3,4,5,6,5,6
2024/07/16 6:16:29 PM PDT,Yes,Male,24 - 27,COHk,200,Cristian,Campus,Others,Family,Never,Yes,6,6,6,6,6,6,6,6,6,6,5,4,3,6,6
2024/07/16 6:17:40 PM PDT,Yes,Male,24 - 27,COHk,200,Cristian,Campus,Akan,Family,Never,Yes,6,6,6,6,6,3,3,3,3,6,6,6,6,6,6
2024/07/16 6:18:56 PM PDT,Yes,Male,24 - 27,COHk,200,Cristian,Campus,Ga,Family,Sometimes,Yes,6,6,6,6,6,2,2,2,2,3,4,5,6,5,4
2024/07/16 6:21:31 PM PDT,Yes,Male,24 - 27,COHk,200,Cristian,Campus,Ewe,Family,Frequently,Yes,6,6,6,6,6,2,2,2,2,5,5,5,5,5,5
2024/07/16 6:23:14 PM PDT,Yes,Male,24 - 27,COHk,200,Cristian,Campus,Others,Family,Never,Yes,6,6,6,6,6,3,3,2,0,3,4,5,6,5,4
2024/07/16 6:24:09 PM PDT,Yes,Male,24 - 27,COHk,200,Cristian,Campus,Others,Family,Sometimes,Yes,6,5,6,5,6,0,0,0,0,6,5,4,4,3,6
2024/07/16 6:25:01 PM PDT,Yes,Female,17 - 20,COHk,200,Cristian,Campus,Akan,Scholarship,Never,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/07/16 6:26:14 PM PDT,Yes,Female,17 - 20,COHk,200,Cristian,Campus,Ga,Family,Sometimes,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2024/07/16 6:27:01 PM PDT,Yes,Female,17 - 20,COHk,200,Cristian,Campus,Ewe,Scholarship,Frequently,Yes,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2024/07/16 6:28:07 PM PDT,Yes,Female,17 - 20,COHk,200,Cristian,Campus,Ewe,Family,Never,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024/07/16 6:28:58 PM PDT,Yes,Female,17 - 20,COHk,200,Cristian,Campus,Others,Family,Never,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024/07/16 6:29:57 PM PDT,Yes,Female,17 - 20,COHk,200,Cristian,Campus,Akan,Family,Never,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2024/07/16 6:30:40 PM PDT,Yes,Female,17 - 20,COHk,200,Cristian,Campus,Akan,Family,Never,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2024/07/16 6:31:30 PM PDT,Yes,Male,17 - 20,COHk,200,Cristian,Campus,Ga,Scholarship,Never,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/16 6:32:22 PM PDT,Yes,Female,17 - 20,COHk,200,Cristian,Campus,Akan,Family,Never,Yes,6,6,6,6,6,3,4,5,6,6,5,4,3,5,6
2024/07/16 6:33:21 PM PDT,Yes,Female,17 - 20,COHk,200,Cristian,Campus,Others,Family,Never,Yes,6,6,6,6,6,3,4,5,6,6,5,4,3,5,6
2024/07/16 6:35:34 PM PDT,Yes,Female,17 - 20,COHk,200,Muslim,Off Campus,Others,Family,Sometimes,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/16 6:36:28 PM PDT,Yes,Female,17 - 20,COHk,200,Muslim,Off Campus,Others,Family,Sometimes,Yes,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6
2024/07/16 6:41:45 PM PDT,Yes,Male,17 - 20,UG,400,Cristian,Campus,Ga,Family,Never,Yes,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2024/07/16 6:42:23 PM PDT,Yes,Male,21 - 23,UG,400,Cristian,Off Campus,Ga,Family,Never,Yes,6,6,6,6,6,3,3,3,3,6,6,6,6,6,6
2024/07/16 6:43:06 PM PDT,Yes,Male,21 - 23,UG,400,Cristian,Off Campus,Ga,Family,Never,Yes,5,5,5,5,5,2,2,2,2,5,5,5,5,5,5
2024/07/16 6:43:57 PM PDT,Yes,Male,21 - 23,UG,400,Cristian,Off Campus,Ga,Family,Sometimes,Yes,4,4,4,4,4,1,1,1,1,4,4,4,4,4,4
2024/07/16 6:45:05 PM PDT,Yes,Male,21 - 23,UG,200,Cristian,Off Campus,Ga,Family,Frequently,Yes,6,6,6,6,6,1,1,1,1,6,6,6,6,6,6
2024/07/16 6:45:52 PM PDT,Yes,Male,24 - 27,UG,400,Cristian,Campus,Ga,Scholarship,Never,Yes,6,6,6,6,6,0,0,0,0,6,6,6,6,6,6
2024/07/16 6:47:26 PM PDT,Yes,Male,24 - 27,UG,400,Cristian,Off Campus,Ga,Family,Sometimes,Yes,6,6,6,6,6,3,3,3,3,6,6,6,6,6,6
2024/07/16 6:48:11 PM PDT,Yes,Male,24 - 27,UG,400,Cristian,Off Campus,Ga,Family,Sometimes,Yes,5,5,5,5,5,2,2,2,2,6,6,6,6,6,6
2024/07/16 6:49:09 PM PDT,Yes,Male,24 - 27,UG,400,Cristian,Off Campus,Ga,Family,Never,Yes,5,5,5,5,6,2,2,2,2,6,6,6,5,6,5
2024/07/16 6:49:59 PM PDT,Yes,Male,24 - 27,UG,400,Cristian,Off Campus,Ga,Family,Sometimes,Yes,5,5,5,5,5,3,2,1,0,3,4,5,6,5,4
2024/07/16 6:51:02 PM PDT,Yes,Female,17 - 20,UG,400,Cristian,Off Campus,Ga,Scholarship,Never,Yes,6,5,4,3,6,3,2,1,0,3,4,5,6,6,5
2024/07/16 6:51:47 PM PDT,Yes,Female,17 - 20,UG,400,Cristian,Off Campus,Ga,Family,Sometimes,Yes,6,4,5,6,6,3,2,1,0,3,4,5,6,6,5
2024/07/16 6:53:03 PM PDT,Yes,Female,17 - 20,UG,400,Cristian,Off Campus,Ewe,Family,Frequently,Yes,6,5,6,5,6,0,1,2,3,6,5,4,3,3,3
2024/07/16 6:53:50 PM PDT,Yes,Female,17 - 20,UG,400,Cristian,Off Campus,Others,Family,Never,Yes,6,6,6,6,6,3,2,1,0,3,4,5,6,6,6
2024/07/16 6:54:50 PM PDT,Yes,Female,17 - 20,UG,400,Cristian,Off Campus,Akan,Family,Never,Yes,6,5,6,5,6,0,1,2,3,1,2,3,4,5,6
2024/07/16 6:56:05 PM PDT,Yes,Female,21 - 23,UG,400,Cristian,Off Campus,Akan,Family,Sometimes,Yes,6,6,6,6,6,3,2,1,0,6,5,4,3,2,1
2024/07/16 6:57:13 PM PDT,Yes,Female,21 - 23,UG,400,Cristian,Off Campus,Ga,Family,Sometimes,Yes,5,6,5,6,6,0,1,2,3,6,5,4,3,6,6
2024/07/16 6:58:22 PM PDT,Yes,Female,21 - 23,UG,400,Cristian,Off Campus,Akan,Family,Sometimes,Yes,6,5,5,6,6,0,1,2,3,3,4,5,6,5,6
2024/07/16 7:01:43 PM PDT,Yes,Female,21 - 23,UG,400,Cristian,Off Campus,Ga,Scholarship,Sometimes,Yes,6,5,6,5,6,0,1,2,3,6,5,4,6,6,6
2024/07/16 7:02:34 PM PDT,Yes,Female,24 - 27,UG,400,Cristian,Off Campus,Others,Family,Never,Yes,6,6,6,6,6,3,2,1,0,6,6,6,6,6,6
2024/07/16 7:03:45 PM PDT,Yes,Female,24 - 27,UG,400,Cristian,Off Campus,Others,Self,Frequently,Yes,6,5,6,5,6,3,2,1,0,6,5,4,3,2,1
2024/07/16 7:04:37 PM PDT,Yes,Female,24 - 27,UG,400,Cristian,Off Campus,Others,Self,Sometimes,Yes,6,6,6,6,6,0,1,1,0,6,6,5,5,6,6
2024/07/16 7:05:51 PM PDT,Yes,Female,24 - 27,UG,400,Cristian,Off Campus,Akan,Family,Sometimes,Yes,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6
2024/07/16 7:07:22 PM PDT,Yes,Male,17 - 20,UG,300,Cristian,Campus,Akan,Scholarship,Never,Yes,6,6,6,6,6,3,2,1,0,6,5,6,5,6,6
2024/07/16 7:08:13 PM PDT,Yes,Male,17 - 20,UG,300,Cristian,Campus,Ga,Family,Sometimes,Yes,6,6,5,5,6,3,2,1,0,6,6,6,6,6,6
2024/07/16 7:09:21 PM PDT,Yes,Male,17 - 20,UG,300,Cristian,Off Campus,Ewe,Loan,Never,Yes,6,6,6,6,6,3,2,1,0,6,6,5,5,4,4
2024/07/16 7:10:17 PM PDT,Yes,Male,17 - 20,UG,300,Cristian,Off Campus,Akan,Family,Frequently,Yes,6,6,6,6,6,6,6,6,6,5,5,6,6,4,4
2024/07/16 7:11:59 PM PDT,Yes,Male,17 - 20,UG,300,Cristian,Off Campus,Akan,Family,Never,Yes,6,6,6,6,6,6,6,3,3,6,6,6,6,6,6
2024/07/16 7:13:37 PM PDT,Yes,Female,21 - 23,UG,300,Muslim,Off Campus,Others,Family,Never,Yes,6,6,6,6,6,3,3,3,3,6,6,6,6,6,6
2024/07/16 7:15:26 PM PDT,Yes,Female,21 - 23,UG,200,Muslim,Off Campus,Others,Family,Never,Yes,3,6,6,6,6,0,1,2,0,6,6,6,6,6,6
2024/07/16 7:16:22 PM PDT,Yes,Female,21 - 23,UG,300,Muslim,Off Campus,Others,Family,Sometimes,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2024/07/16 7:19:42 PM PDT,Yes,Female,21 - 23,UG,300,Cristian,Off Campus,Akan,Family,Sometimes,Yes,6,6,6,6,6,2,3,3,3,3,3,3,3,3,3
2024/07/17 1:07:37 AM PDT,Yes,Female,24 - 27,UG,300,Cristian,Off Campus,Akan,Family,Sometimes,Yes,6,6,6,6,6,3,2,1,0,3,4,5,6,5,6
2024/07/17 1:08:22 AM PDT,Yes,Female,24 - 27,UG,300,Cristian,Off Campus,Akan,Family,Sometimes,Yes,6,6,6,6,6,0,1,2,3,3,2,4,5,6,6
2024/07/17 1:09:01 AM PDT,Yes,Female,24 - 27,UG,300,Cristian,Campus,Akan,Family,Never,Yes,5,5,5,5,5,1,1,2,2,6,6,5,5,4,4
2024/07/17 1:10:01 AM PDT,Yes,Female,21 - 23,UG,300,Cristian,Off Campus,Akan,Family,Sometimes,Yes,5,5,6,6,6,0,0,1,1,3,3,4,4,5,5
2024/07/17 1:11:13 AM PDT,Yes,Female,21 - 23,UG,300,Cristian,Off Campus,Akan,Family,Sometimes,Yes,6,6,6,5,5,2,2,1,1,3,3,6,6,4,4
2024/07/17 1:12:07 AM PDT,Yes,Female,21 - 23,UG,300,Cristian,Off Campus,Ga,Family,Never,Yes,6,6,5,5,6,3,2,1,0,3,4,5,6,5,4
2024/07/17 1:12:49 AM PDT,Yes,Female,21 - 23,UG,300,Cristian,Off Campus,Ga,Family,Never,Yes,4,4,5,5,6,3,2,1,0,3,3,4,4,5,5
2024/07/17 1:13:44 AM PDT,Yes,Female,21 - 23,UG,200,Cristian,Off Campus,Ga,Family,Never,Yes,6,6,6,6,6,0,1,2,3,6,0,1,3,2,0
2024/07/17 1:15:22 AM PDT,Yes,Female,21 - 23,UG,200,Cristian,Campus,Akan,Family,Never,Yes,6,6,5,5,4,4,2,1,0,6,5,4,2,1,0
